key4,13,4,11,-12,18,3
key10,11,9,11,-9,33,31
key12,0,-6,23,1,30,-2
key5,18,6,1,-10,35,10
key14,13,-2,9,-13,3,2
key11,7,-4,13,-3,22,-7
key8,1,-17,17,-12,32,10
key2,15,11,6,1,17,-5
key6,6,-5,2,0,1,-13
key15,6,-7,3,-13,39,34
key9,4,3,5,5,17,12
key3,13,-6,29,17,0,-28
key13,3,-16,17,-3,35,24
key1,11,-2,11,7,3,-20
key7,0,-19,0,-29,3,-18
key16,14,14,26,16,17,-15
key17,13,8,5,-14,36,33
key18,16,4,22,-1,13,3
key19,11,-5,8,-2,2,-23
key21,1,-11,5,-19,0,-35
key20,2,-17,20,-4,26,10
key22,19,0,13,-6,0,-39
key23,7,7,13,1,24,12
key24,2,-15,14,5,10,-21
key25,6,-6,20,3,22,-9
key26,11,10,12,-11,11,-18
key30,2,-7,1,-29,3,-31
key33,20,3,24,5,24,2
key27,11,4,22,-6,5,4
key28,6,-3,22,-7,7,-17
key34,11,6,9,-3,30,3
key31,9,-4,29,0,34,27
key29,14,-3,17,7,39,7
key35,3,-12,30,0,20,3
key37,7,-13,9,7,15,-6
key36,10,-3,5,1,38,30
key38,7,-5,13,5,31,1
key40,3,3,19,6,29,25
key39,4,-2,26,-3,14,1
key32,12,-1,26,16,6,-30
key41,14,0,14,-9,2,-34
key42,20,7,16,1,33,19
key43,3,-11,2,-24,13,7
key44,20,8,19,-7,5,-34
key46,14,-1,22,13,39,16
key47,15,-1,2,-2,34,-3
key48,9,2,21,4,32,21
key45,13,-2,25,7,18,-3
key49,16,-3,11,-2,33,24
key50,17,2,21,-8,35,31
key51,4,-10,2,-10,37,7
key52,12,-4,24,19,1,-20
key53,15,-5,6,-1,10,9
key54,20,13,5,2,12,-6
key55,8,-11,22,15,34,31
key56,6,6,2,-9,16,-2
key57,9,-1,10,-17,30,14
key58,3,-4,6,-13,15,-3
key59,6,5,0,-2,7,-4
key60,7,-9,28,8,8,-12
key61,19,19,16,-6,26,13
key62,17,6,18,5,1,-11
key63,11,-9,1,-1,9,-28
key64,5,-8,25,23,22,0
key65,14,-5,7,-1,9,9
key66,9,-7,9,-15,26,3
key69,1,-15,17,7,19,-21
key67,5,-14,29,21,13,9
key68,13,2,4,3,5,-16
key70,16,6,4,-18,35,34
key71,16,14,29,12,35,0
key72,14,0,8,-1,16,-8
key73,14,-2,19,10,27,26
key74,15,13,0,-21,0,-3
key75,9,7,26,20,15,14
key76,17,2,4,-3,22,-9
key77,11,0,24,18,0,-23
key78,20,4,21,-6,17,4
key79,19,15,15,-14,0,-30
key80,6,0,26,17,20,-11
key81,6,-10,26,5,10,-24
key82,1,-7,18,9,10,-24
key83,9,3,2,-19,18,2
key84,18,13,21,14,13,-17
key85,18,2,5,-19,14,-7
key86,3,-11,28,0,19,-17
key87,15,-2,22,3,13,-24
key88,14,2,24,5,37,34
key89,4,-7,18,16,21,-11
key90,4,-7,5,-25,21,10
key91,12,-6,18,4,10,-29
key92,16,13,11,-18,28,2
key93,8,-9,25,2,4,1
key94,3,-12,29,16,35,21
key95,16,6,19,-7,38,5
key96,9,8,20,1,20,6
key97,16,3,19,0,36,3
key98,3,-7,26,12,15,7
key99,9,4,12,-14,0,-16
key100,9,-7,29,5,29,-6
key102,18,4,4,-19,20,-1
key101,2,-7,22,7,6,-17
key103,20,11,23,-7,24,18
key104,6,-1,25,10,26,-13
key105,5,-7,28,16,2,-12
key107,15,13,22,3,27,3
key106,17,12,12,2,38,33
key108,10,-1,11,8,2,-26
key109,14,-1,16,7,7,-25
key110,19,14,10,-5,32,16
key112,7,3,22,2,8,-19
key111,17,6,21,13,17,-1
key113,7,3,2,-13,7,-29
key115,7,-2,28,16,2,-25
key114,6,-3,13,-3,7,-32
key117,12,0,9,-16,25,7
key116,11,-5,16,-3,12,-11
key118,0,-1,19,16,29,6
key119,9,6,9,-12,4,-22
key120,14,-1,24,14,23,14
key121,16,12,17,9,19,-6
key122,2,2,24,7,6,0
key123,14,10,1,0,34,26
key124,10,-2,3,-1,19,6
key125,19,9,3,-9,39,32
key126,15,11,13,12,10,-12
key127,17,10,13,-16,17,-9
key128,1,-5,12,-3,36,22
key129,18,16,18,12,39,10
key130,12,0,22,11,2,-26
key131,7,-5,7,4,25,-15
key132,4,-16,24,10,37,2
key133,17,2,3,-8,28,-9
key134,7,2,15,0,32,28
key135,2,-12,25,19,23,10
key136,10,8,8,-7,24,2
key137,13,-5,2,0,39,32
key138,0,-8,8,-16,8,-19
key139,10,-2,13,5,36,-1
key140,16,5,2,-11,30,28
key141,12,0,7,4,33,22
key142,8,-12,14,5,7,-29
key143,1,-18,25,-4,33,-6
key144,17,5,9,-18,14,-23
key145,2,2,28,1,20,1
key146,17,12,7,2,11,-23
key147,16,6,24,7,28,-5
key148,7,-10,10,-20,13,-17
key149,4,2,12,1,28,-5
key150,13,0,12,12,34,22
key151,6,2,25,8,5,0
key152,16,2,23,-3,5,-12
key153,14,9,12,-8,31,-4
key154,6,-9,6,-18,35,11
key155,2,-7,24,-2,2,-11
key156,1,-19,21,-6,1,-35
key157,20,13,13,-13,31,7
key158,10,-9,17,-5,12,-18
key159,12,0,2,-2,14,-20
key160,9,5,26,7,38,38
key161,14,-5,12,-5,7,-12
key162,3,-7,23,14,14,-2
key163,3,-6,8,-17,24,-5
key164,6,-5,22,-4,2,-20
key165,10,9,29,8,16,1
key166,7,-11,15,9,17,-15
key167,10,9,17,1,38,0
key168,5,-11,22,-1,10,7
key169,11,1,22,16,13,-22
key170,17,0,29,16,2,-21
key171,1,-1,21,15,18,-10
key172,5,-4,12,-8,27,17
key174,5,-10,14,6,11,1
key173,5,4,10,-10,17,-23
key175,8,-12,1,-1,29,11
key176,13,2,18,5,5,-8
key177,7,-9,22,-6,1,-19
key178,5,4,14,-4,36,7
key179,0,-2,16,-9,34,5
key180,7,2,19,6,21,19
key181,13,-3,2,-6,16,-7
key183,9,-1,12,10,7,4
key182,1,-15,4,-10,23,18
key184,18,-1,29,11,11,-12
key185,9,0,21,-6,7,-23
key186,5,-5,7,-6,21,-18
key187,2,-3,17,0,12,0
key188,16,12,3,-21,39,8
key189,13,5,11,0,24,15
key190,18,6,24,14,35,1
key191,9,7,14,-4,5,-15
key192,0,-4,23,2,19,-8
key193,1,-17,15,-9,33,26
key195,9,6,14,-6,29,28
key194,10,-3,3,1,29,-2
key196,3,-7,3,1,34,15
key197,18,0,22,11,39,34
key198,17,2,16,9,31,24
key199,15,9,25,5,20,-2
key200,4,-11,29,3,18,7
key201,19,6,29,23,11,7
key202,16,-4,26,17,4,-1
key204,11,-7,8,-1,28,24
key203,17,8,3,-26,25,2
key205,8,6,11,-3,15,-24
key206,11,-1,10,-10,16,3
key207,15,7,13,-13,10,-8
key208,6,6,9,-16,38,37
key209,4,-15,28,17,27,8
key210,6,-11,12,9,20,-18
key211,15,12,11,-18,3,-27
key212,12,12,2,-17,21,-18
key213,15,7,5,-1,33,12
key214,7,0,23,22,12,-21
key215,13,-1,2,-7,21,-11
key217,11,-4,10,2,18,-20
key216,5,-8,5,-10,5,-3
key218,7,6,14,-2,0,-33
key219,14,7,20,14,13,-17
key220,13,-1,26,13,23,6
key221,17,17,1,1,7,-5
key222,9,7,30,29,40,3
key223,6,4,18,10,28,8
key224,8,-9,5,-8,23,-9
key226,17,2,10,6,37,16
key225,19,7,25,7,9,-9
key227,18,11,1,-6,33,21
key228,7,5,15,0,33,-5
key229,6,-12,27,10,12,3
key230,11,1,29,25,13,-23
key231,3,-16,17,6,10,5
key232,10,-5,22,16,32,18
key233,15,-1,28,11,20,-16
key234,3,-4,5,-8,15,13
key235,17,14,26,-4,20,-17
key236,9,-2,13,0,23,19
key237,5,-14,20,4,5,-2
key239,1,-18,12,-7,2,-3
key238,9,6,19,8,0,-23
key240,1,-1,15,-14,38,19
key241,15,0,30,27,21,2
key242,16,9,14,9,15,-4
key243,15,6,20,6,33,13
key244,10,9,22,0,8,-12
key245,5,-1,29,21,38,29
key246,11,-7,12,-1,25,-13
key247,2,-4,21,3,39,12
key248,2,-17,23,-6,32,29
key249,6,-5,26,25,34,30
key250,6,-7,13,3,37,36
key251,9,-1,29,27,19,8
key252,5,-3,10,-1,20,19
key253,11,-4,29,0,23,7
key254,0,-2,12,-14,16,11
key255,1,-19,26,5,6,-1
key256,10,1,21,0,34,11
key257,5,2,10,-6,29,1
key258,6,-5,4,0,2,-32
key260,17,4,0,-14,34,3
key259,3,1,30,14,33,0
key261,5,3,15,-13,12,4
key262,9,-10,18,-10,7,-28
key263,5,-8,6,-1,23,-12
key264,14,-4,22,7,12,-25
key265,17,9,9,3,9,-23
key266,9,-2,3,-27,22,6
key267,3,-11,5,-9,31,5
key268,20,6,26,15,26,-7
key269,4,-4,3,-26,25,21
key271,9,-1,8,0,13,-12
key273,13,10,17,-5,26,-5
key274,6,-13,6,-15,7,-1
key275,18,10,4,-11,20,-18
key270,10,-2,18,12,38,22
key272,7,-12,18,16,30,18
key277,9,-9,27,25,27,15
key276,19,4,16,-12,13,4
key278,1,-5,26,7,37,12
key279,20,3,21,-2,36,7
key280,5,-2,27,14,25,-3
key281,7,3,17,12,30,14
key284,0,-13,2,-16,16,-22
key283,9,-5,9,-8,15,12
key282,19,15,29,10,25,-3
key285,6,4,1,-23,16,-8
key287,14,-2,18,12,20,-13
key286,1,-15,22,1,24,-13
key288,7,4,22,-4,20,-14
